position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
RB,0,68.75,188.0,23.21643836,16,4.71,4.99,33.0,108.5,0.0,4.42,0
LB,0,69.0,221.0,24.4739726,15,0.0,4.85,32.0,112.25,7.25,4.55,0
OL,0,76.0,293.0,23.90684932,24,0.0,5.01,31.0,108.25,7.91,4.69,1
DL,0,73.75,237.0,22.43287671,21,0.0,5.19,27.5,107.5,7.58,4.57,0
LB,0,71.75,218.0,22.03835616,20,4.73,0.0,37.5,119.0,0.0,4.28,1
RB,0,70.5,211.6,22.32876712,22,4.87,4.92,28.5,107.0,0.0,0.0,0
OL,0,74.125,307.0,0.0,22,5.53,5.77,19.0,83.5,0.0,5.27,0
WR,0,74.875,251.0,22.93972603,23,4.68,4.86,35.0,119.0,0.0,4.53,1
QB,0,75.0,210.0,23.06027397,10,4.72,4.84,32.0,116.5,6.81,4.25,1
QB,0,74.0,205.0,0.0,3,0.0,4.679,34.0,112.5,7.027,4.135,0
DL,0,76.0,276.0,24.07945205,0,5.53,5.76,26.5,90.0,0.0,4.59,0
DL,0,74.0,245.0,25.87671233,16,5.16,5.24,29.5,99.0,7.9,4.72,1
DB,0,74.375,186.0,25.8739726,7,0.0,4.72,35.0,115.5,6.95,4.19,0
DB,0,72.125,182.0,21.45753425,12,4.56,4.82,37.0,113.75,0.0,4.21,1
RB,0,69.875,215.0,22.88219178,24,4.84,5.04,30.0,109.0,0.0,4.53,0
OL,0,78.0,306.0,21.81917808,13,0.0,5.543,26.5,98.75,7.8,4.84,1
RB,0,75.0,238.0,24.99726027,20,0.0,5.11,31.0,108.5,0.0,4.65,1
WR,0,71.0,196.0,24.49041096,0,0.0,4.54,39.0,124.0,6.81,4.18,1
WR,0,71.5,211.0,22.82191781,17,4.49,0.0,42.0,123.0,0.0,4.1,1
DL,0,75.0,275.0,21.54520548,29,0.0,5.107,29.5,101.0,0.0,4.72,1
WR,0,73.0,202.0,24.81369863,12,0.0,4.621,36.0,129.5,0.0,4.38,1
DL,0,75.25,257.0,24.83287671,22,4.94,5.17,33.0,117.5,0.0,4.4,1
OL,0,76.0,306.0,23.65479452,16,5.58,5.75,23.5,97.5,0.0,4.91,1
WR,0,73.0,199.0,24.47123288,12,0.0,4.679,41.0,115.5,6.843,4.018,1
OL,0,76.0,279.0,24.00273973,14,5.38,5.43,25.5,96.072,7.88,4.8,1
RB,0,73.0,208.0,22.29589041,8,0.0,4.703,33.5,121.0,7.31,4.53,1
DL,0,76.125,301.0,22.76164384,20,5.31,0.0,28.5,92.0,0.0,4.81,0
DB,0,72.0,208.0,25.48767123,5,4.95,5.15,30.75,103.8,7.26,4.42,0
WR,0,73.125,189.8,23.3890411,9,4.69,4.73,31.5,119.0,0.0,0.0,1
LB,0,71.0,234.0,23.69315068,20,4.96,5.15,28.25,103.284,7.27,4.33,1
DL,0,75.0,225.0,21.46027397,21,0.0,4.697,35.5,122.5,7.5,4.5,1
OL,0,78.625,287.0,23.54794521,13,5.5,5.91,22.0,104.5,0.0,5.13,0
DL,0,73.0,234.0,22.74246575,20,0.0,4.72,29.0,104.0,7.75,4.66,0
OL,0,74.0,329.0,26.10958904,19,5.87,6.13,23.5,80.4,8.64,5.48,0
DL,0,74.375,240.8,25.34794521,16,5.11,5.2,31.0,104.7,0.0,0.0,0
OL,0,74.375,309.0,25.14246575,25,5.41,0.0,25.0,89.0,0.0,4.9,1
DL,0,76.0,288.0,24.35890411,19,0.0,5.3,26.5,100.25,7.99,4.72,1
WR,0,69.375,188.0,24.03287671,13,4.56,4.81,38.0,129.5,0.0,4.19,1
WR,0,75.75,212.0,23.13150685,8,4.56,4.79,35.5,123.0,0.0,4.49,1
DB,0,71.875,197.8,24.43561644,10,4.69,4.79,34.0,106.0,0.0,0.0,1
WR,0,71.0,183.0,23.05753425,0,4.84,4.97,27.5,101.0,0.0,4.25,0
RB,1,74.375,229.0,25.12328767,16,5.16,5.29,27.5,107.75,0.0,4.4,1
OL,0,81.25,322.0,22.11232877,19,5.4,5.43,28.5,95.0,7.47,4.66,1
RB,0,68.0,194.0,23.14520548,22,0.0,4.57,35.5,113.5,7.51,4.56,1
LB,0,71.5,215.2,22.74520548,13,4.86,4.9,34.5,106.5,0.0,0.0,0
DB,0,68.625,187.0,23.6739726,20,4.59,4.8,35.5,112.0,0.0,4.31,0
OL,0,73.625,294.4,23.80273973,26,5.25,5.64,23.0,96.5,0.0,0.0,1
LB,0,75.75,226.2,23.1369863,18,4.83,5.06,30.5,116.5,0.0,0.0,1
WR,0,74.5,212.0,21.80821918,7,4.74,0.0,29.75,112.5,0.0,4.52,0
WR,0,74.0,206.0,22.64109589,10,0.0,4.781,25.5,106.0,7.73,4.63,1
DB,0,70.375,196.0,22.99726027,14,4.5,4.79,39.0,121.5,0.0,4.39,1
DB,0,71.0,199.0,24.18630137,12,0.0,4.76,32.5,112.5,7.37,4.66,0
DL,0,75.375,250.0,25.92054795,23,4.75,4.94,30.5,117.0,0.0,0.0,1
WR,0,71.25,192.0,22.25205479,12,4.74,4.96,29.0,109.5,0.0,4.36,0
DB,0,73.25,183.0,23.64657534,3,4.78,0.0,36.5,110.5,0.0,4.43,0
RB,0,70.0,200.0,0.0,10,0.0,4.861,30.5,102.5,7.32,4.32,0
RB,0,72.0,215.0,23.63561644,15,0.0,4.875,31.5,112.0,7.56,4.24,1
DL,0,74.0,305.0,22.63013699,28,0.0,4.822,27.5,99.0,7.56,4.62,1
LB,0,72.375,202.0,22.98630137,21,4.76,0.0,37.0,118.0,0.0,4.25,1
DL,1,77.0,290.0,23.05753425,21,0.0,5.241,27.5,98.5,7.612,4.448,1
OL,0,74.125,284.6,26.13972603,18,5.49,5.59,22.0,93.7,0.0,0.0,1
WR,0,75.0,212.0,21.60273973,14,0.0,4.63,34.5,115.5,7.41,4.79,1
RB,0,66.875,168.0,24.55068493,8,4.65,4.93,29.5,107.0,0.0,4.49,0
LB,0,69.125,200.0,26.03561644,15,4.65,4.79,32.0,113.0,6.94,4.19,0
WR,0,75.875,221.0,22.38356164,6,4.78,4.99,34.0,122.0,0.0,4.31,1
LB,0,72.375,215.0,24.0,22,0.0,4.63,36.0,114.0,7.14,4.14,1
WR,0,69.0,173.0,22.36986301,10,0.0,4.8,31.0,108.5,6.89,4.22,0
WR,0,73.875,202.0,21.55068493,14,4.75,5.0,34.0,110.0,0.0,4.24,0
RB,0,71.5,219.0,22.52876712,24,4.59,4.8,36.0,116.5,0.0,4.39,1
DL,0,73.5,266.0,24.17808219,11,5.02,0.0,29.5,105.0,0.0,4.38,1
LB,0,70.125,209.0,21.63013699,19,4.73,4.85,30.5,110.5,0.0,4.31,0
LB,0,73.75,241.0,25.07945205,21,5.03,5.18,36.0,113.25,0.0,4.32,1
DL,0,75.0,273.0,24.2739726,30,4.9,4.94,32.5,110.5,7.66,4.68,1
LB,0,73.5,269.0,0.0,6,5.52,5.92,25.5,98.0,0.0,4.85,0
OL,0,75.25,296.0,24.88219178,9,5.58,5.81,23.0,92.0,0.0,5.12,1
WR,0,75.625,219.0,23.14794521,19,4.71,4.83,36.0,118.5,0.0,4.24,1
LB,0,71.0,243.0,24.55068493,41,0.0,4.83,32.5,111.5,7.16,4.18,1
DB,0,70.5,170.0,23.14794521,10,4.66,4.94,37.0,115.25,0.0,3.97,0
LB,0,75.0,232.0,23.15342466,22,0.0,4.82,34.5,113.0,7.151,4.28,1
LB,0,72.75,218.0,23.57260274,20,0.0,4.83,30.5,106.5,6.77,4.09,0
LB,0,73.0,218.0,24.61369863,13,0.0,4.7,33.5,116.75,0.0,4.53,1
DB,0,68.5,189.0,24.01369863,9,4.83,0.0,31.5,113.5,0.0,4.27,1
DL,0,73.5,278.0,23.65753425,22,5.37,5.42,33.0,103.0,7.6,4.88,1
DB,0,69.75,196.0,24.0109589,5,4.71,4.88,29.0,117.5,0.0,4.6,0
DL,0,75.375,277.8,24.17808219,20,5.54,5.5,31.0,109.2,0.0,0.0,1
OL,0,75.375,300.0,25.96438356,14,5.8,5.98,21.0,0.0,0.0,5.12,0
RB,0,72.375,221.0,22.15068493,19,4.39,4.58,44.0,122.75,0.0,4.19,1
OL,0,78.25,319.0,25.19726027,15,5.64,5.6,24.0,97.5,8.9,5.13,1
OL,0,75.0,300.0,0.0,32,0.0,5.42,21.5,86.0,8.41,5.14,1
DB,0,71.0,197.0,25.20547945,12,4.68,4.98,34.0,116.0,0.0,4.11,1
OL,0,78.75,309.0,22.4109589,28,5.25,5.51,36.0,100.5,0.0,4.62,1
WR,0,73.875,197.0,21.93972603,9,4.59,4.67,29.5,116.5,7.23,4.21,1
OL,0,78.0,328.0,23.23561644,29,0.0,5.19,26.5,96.0,8.11,4.9,1
DB,0,72.0,190.0,24.54520548,10,0.0,4.487,34.5,116.5,6.78,4.05,1
OL,0,75.0,309.0,24.61917808,28,5.26,5.56,31.25,99.6,7.63,4.76,1
DL,0,72.25,206.0,22.40273973,11,5.09,5.25,24.0,110.5,0.0,4.47,0
RB,0,70.5,205.0,21.7890411,16,4.53,4.76,32.5,117.0,0.0,4.4,0
DL,0,74.25,295.0,21.36986301,19,5.03,5.23,32.5,107.5,0.0,4.76,1
OL,0,73.875,289.0,22.87945205,16,5.53,5.8,21.5,98.5,0.0,4.91,0
DB,0,72.75,186.6,24.15342466,2,4.73,4.98,30.5,110.2,0.0,0.0,0
DL,0,74.0,280.0,24.40821918,26,5.02,5.25,31.0,103.0,0.0,4.55,1
LB,0,75.25,248.0,25.69863014,14,4.98,5.02,24.0,99.1,0.0,0.0,1
OL,0,75.5,312.0,23.87945205,27,0.0,5.46,26.5,89.0,7.92,4.7,1
DB,0,72.0,193.0,0.0,14,0.0,4.63,31.0,116.0,7.436,4.188,0
LB,0,74.0,213.0,24.71232877,16,0.0,4.906,31.5,113.5,7.53,4.6,1
DL,0,75.75,292.6,23.95616438,23,4.97,5.17,29.5,111.0,0.0,0.0,1
WR,0,73.25,214.0,24.63561644,15,4.48,4.65,35.5,121.0,7.03,4.16,1
